Auditing,52,12,0.230769230769231
Legal,311,63,0.202572347266881
Research and Development,1084,212,0.195571955719557
Support,954,182,0.190775681341719
Sales,1832,335,0.182860262008734
Product Management,641,114,0.177847113884555
Engineering,6686,1185,0.177236015554891
Accounting,3333,586,0.175817581758176
Services,1686,293,0.173784104389087
Training,1692,291,0.171985815602837
Human Resources,1807,309,0.171001660210293
Business Development,1642,275,0.16747868453106
Marketing,494,72,0.145748987854251
